lead,t_s,v,v_units
V1,1.8485853672027588,0.002469204366207123,mV
V1,1.8556410074234009,-0.004939485341310501,mV
V1,1.862696647644043,-0.019403737038373947,mV
V1,1.869752287864685,-0.014817379415035248,mV
V1,1.8768080472946167,-0.02187294140458107,mV
V1,1.8838636875152588,-0.019403737038373947,mV
V1,1.8909193277359009,-0.019403737038373947,mV
V1,1.897974967956543,-0.014817379415035248,mV
V1,1.9050307273864746,-0.03915952518582344,mV
V1,1.9120863676071167,-0.03422003984451294,mV
V1,1.9191420078277588,-0.03668978065252304,mV
V1,1.9261976480484009,-0.03915952518582344,mV
V1,1.9332534074783325,-0.09507539868354797,mV
V1,1.9403090476989746,-0.1950892060995102,mV
V1,1.9473646879196167,-0.3002190589904785,mV
V1,1.9544203281402588,-0.541875958442688,mV
V1,1.9614760875701904,-0.7710086703300476,mV
V1,1.9685317277908325,-0.8613216876983643,mV
V1,1.9755873680114746,-0.7761236429214478,mV
V1,1.9826430082321167,-0.5027164220809937,mV
V1,1.9896987676620483,-0.3220914602279663,mV
V1,1.9967544078826904,-0.18538787961006165,mV
V1,2.003810167312622,-0.10266011953353882,mV
V1,2.0108656883239746,-0.026811888441443443,mV
V1,2.0179214477539062,-0.004939485341310501,mV
V1,2.024976968765259,0.024341607466340065,mV
V1,2.0320327281951904,0.03422003984451294,mV
V1,2.039088487625122,0.04392082989215851,mV
V1,2.0461440086364746,0.06843899935483932,mV
V1,2.0531997680664062,0.08043404668569565,mV
V1,2.060255527496338,0.08784274011850357,mV
V1,2.0673110485076904,0.12453197687864304,mV
V1,2.074366807937622,0.14887411892414093,mV
V1,2.0814223289489746,0.18062496185302734,mV
V1,2.0884780883789062,0.21484500169754028,mV
V1,2.095533847808838,0.22436976432800293,mV
V1,2.1025893688201904,0.22683951258659363,mV
V1,2.109645128250122,0.22930924594402313,mV
V1,2.1167008876800537,0.20249736309051514,mV
V1,2.1237564086914062,0.1855633705854416,mV
V1,2.130812168121338,0.18062442541122437,mV
V1,2.1378676891326904,0.13652703166007996,mV
V1,2.144923448562622,0.11712329089641571,mV
V1,2.1519792079925537,0.09278114885091782,mV
V1,2.1590347290039062,0.04868375137448311,mV
V1,2.166090488433838,0.039158448576927185,mV
V1,2.1731460094451904,0.02928055450320244,mV
V1,2.180201768875122,0.004938408732414246,mV
V1,2.1872575283050537,-0.007408689707517624,mV
V1,2.1943130493164062,-0.029281631112098694,mV
V1,2.201368808746338,-0.05115403234958649,mV
V1,2.2084245681762695,-0.03915952518582344,mV
V1,2.215480089187622,-0.04639111086726189,mV
V1,2.2225358486175537,-0.04639111086726189,mV
V1,2.2295913696289062,-0.03422003984451294,mV
V1,2.236647129058838,-0.024342145770788193,mV
V1,2.2437028884887695,-0.03915952518582344,mV
V1,2.250758409500122,-0.03915952518582344,mV
V1,2.2578141689300537,-0.044097933918237686,mV
V1,2.2648699283599854,-0.048684291541576385,mV
V1,2.271925449371338,-0.05856218561530113,mV
V1,2.2789812088012695,-0.05856218561530113,mV
V1,2.286036729812622,-0.05362377688288689,mV
V1,2.2930924892425537,-0.05362323671579361,mV
V1,2.3001482486724854,-0.05856218561530113,mV
V1,2.307203769683838,-0.048684291541576385,mV
V1,2.3142595291137695,-0.048684291541576385,mV
V1,2.321315288543701,-0.044097933918237686,mV
V1,2.3283708095550537,-0.048860855400562286,mV
V1,2.3354265689849854,-0.05362377688288689,mV
V1,2.342482089996338,-0.05609298124909401,mV
V1,2.3495378494262695,-0.07796592265367508,mV
V1,2.356593608856201,-0.10971621423959732,mV
V1,2.3636491298675537,-0.2734071910381317,mV
V1,2.3707048892974854,-0.36848312616348267,mV
V1,2.377760648727417,-0.600438117980957,mV
V1,2.3848161697387695,-0.8419184684753418,mV
V1,2.391871929168701,-0.8883095979690552,mV
V1,2.3989274501800537,-0.7930576205253601,mV
V1,2.4059832096099854,-0.5319980382919312,mV
V1,2.413038969039917,-0.34396442770957947,mV
V1,2.4200944900512695,-0.2000287026166916,mV
V1,2.427150249481201,-0.09278275817632675,mV
V1,2.4342057704925537,-0.009877894073724747,mV
V1,2.4412615299224854,0.01940266042947769,mV
V1,2.448317289352417,0.043744806200265884,mV
V1,2.4553728103637695,0.0682629719376564,mV
V1,2.462428569793701,0.06843899935483932,mV
V1,2.469484329223633,0.08290325105190277,mV
V1,2.4765398502349854,0.10001380741596222,mV
V1,2.483595609664917,0.09772063046693802,mV
V1,2.4906511306762695,0.11712329089641571,mV
V1,2.497706890106201,0.13652703166007996,mV
V2,0.0,-0.04868321493268013,mV
V2,0.007055669091641903,-0.04868321493268013,mV
V2,0.014111338183283806,-0.053621623665094376,mV
V2,0.021167008206248283,-0.04374426603317261,mV
V2,0.02822267636656761,-0.043744806200265884,mV
V2,0.03527834638953209,-0.041275061666965485,mV
V2,0.04233401641249657,-0.031749218702316284,mV
V2,0.049389686435461044,-0.024341069161891937,mV
V2,0.05644535273313522,-0.04868321493268013,mV
V2,0.0635010227560997,-0.04868321493268013,mV
V2,0.07055669277906418,-0.05115241929888725,mV
V2,0.07761236280202866,-0.043744806200265884,mV
V2,0.08466803282499313,-0.021871864795684814,mV
V2,0.09172370284795761,-0.024341069161891937,mV
V2,0.09877937287092209,-0.09013483673334122,mV
V2,0.10583503544330597,-0.27799245715141296,mV
V2,0.11289070546627045,-0.41469606757164,mV
V2,0.11994637548923492,-0.4635569155216217,mV
V2,0.1270020455121994,-0.6074926257133484,mV
V2,0.13405771553516388,-0.5513996481895447,mV
V2,0.14111338555812836,-0.34149307012557983,mV
V2,0.14816905558109283,0.0,mV
V2,0.1552247256040573,0.07567273825407028,mV
V2,0.1622803956270218,0.17074814438819885,mV
V2,0.16933606564998627,0.23918822407722473,mV
V2,0.17639173567295074,0.3076283037662506,mV
V2,0.18344740569591522,0.33443963527679443,mV
V2,0.1905030757188797,0.34908047318458557,mV
V2,0.19755874574184418,0.36619049310684204,mV
V2,0.20461440086364746,0.38806235790252686,mV
V2,0.21167007088661194,0.400410532951355,mV
V2,0.21872574090957642,0.4198131859302521,mV
V2,0.2257814109325409,0.454033225774765,mV
V2,0.23283708095550537,0.46355798840522766,mV
V2,0.23989275097846985,0.5027174949645996,mV
V2,0.24694842100143433,0.5198270082473755,mV
V2,0.2540040910243988,0.5175338387489319,mV
V2,0.2610597610473633,0.5221201777458191,mV
V2,0.26811543107032776,0.5027174949645996,mV
